area_id,area_name,b25014c001,b25014c001_moe,b25014c002,b25014c002_moe,b25014c003,b25014c003_moe
1,Rogers Park,21,50,21,50,0,48
2,West Ridge,127,100,127,100,0,51
3,Uptown,139,85,139,85,0,48
4,Lincoln Square,98,81,98,81,0,40
5,North Center,54,68,54,68,0,43
6,Lake View,148,154,148,154,0,66
7,Lincoln Park,56,74,56,74,0,51
8,Near North Side,76,88,76,88,0,54
9,Edison Park,0,25,0,25,0,25
10,Norwood Park,15,47,15,47,0,39
11,Jefferson Park,47,52,47,52,0,29
12,Forest Glen,21,40,21,40,0,29
13,North Park,15,34,15,34,0,27
14,Albany Park,61,56,61,56,0,45
15,Portage Park,62,60,49,58,13,49
16,Irving Park,103,107,103,107,0,47
17,Dunning,31,51,31,51,0,40
18,Montclare,0,23,0,23,0,23
19,Belmont Cragin,26,53,13,51,13,54
20,Hermosa,10,33,10,33,0,29
21,Avondale,85,83,85,83,0,38
22,Logan Square,53,74,53,74,0,57
23,Humboldt Park,80,79,33,58,47,72
24,West Town,147,88,147,88,0,62
25,Austin,0,61,0,61,0,61
26,West Garfield Park,0,35,0,35,0,35
27,East Garfield Park,0,38,0,38,0,38
28,Near West Side,99,80,82,79,17,53
29,North Lawndale,3,42,3,42,0,43
30,South Lawndale,86,55,65,52,21,51
31,Lower West Side,43,45,43,45,0,42
32,Loop,24,37,24,37,0,30
33,Near South Side,38,47,38,47,0,24
34,Armour Square,0,27,0,27,0,27
35,Douglas,7,35,7,35,0,35
36,Oakland,0,19,0,19,0,19
37,Fuller Park,0,16,0,16,0,16
38,Grand Boulevard,13,46,13,46,0,43
39,Kenwood,64,62,64,62,0,31
40,Washington Park,0,27,0,27,0,27
41,Hyde Park,45,53,45,53,0,38
42,Woodlawn,22,42,22,42,0,36
43,South Shore,89,81,89,81,0,44
44,Chatham,28,43,28,43,0,37
45,Avalon Park,0,19,0,19,0,19
46,South Chicago,0,37,0,37,0,37
47,Burnside,0,11,0,11,0,11
48,Calumet Heights,4,26,4,26,0,27
49,Roseland,0,41,0,41,0,41
50,Pullman,0,19,0,19,0,19
51,South Deering,7,25,7,25,0,25
52,East Side,61,59,61,59,0,29
53,West Pullman,18,41,18,41,0,39
54,Riverdale,0,16,0,16,0,16
55,Hegewisch,27,33,27,33,0,19
56,Garfield Ridge,4,41,4,41,0,42
57,Archer Heights,29,31,29,31,0,27
58,Brighton Park,44,49,40,49,4,43
59,McKinley Park,45,39,29,31,16,34
60,Bridgeport,89,76,89,76,0,37
61,New City,78,70,78,70,0,47
62,West Elsdon,10,30,10,30,0,27
63,Gage Park,31,49,31,49,0,41
64,Clearing,27,40,27,40,0,31
65,West Lawn,70,62,70,62,0,34
66,Chicago Lawn,22,48,20,49,2,48
67,West Englewood,21,51,21,51,0,48
68,Englewood,44,51,44,51,0,36
69,Greater Grand Crossing,84,75,84,75,0,38
70,Ashburn,33,52,33,52,0,41
71,Auburn Gresham,53,82,53,82,0,46
72,Beverly,5,28,5,28,0,29
73,Washington Heights,0,33,0,33,0,33
74,Mount Greenwood,18,37,18,37,0,25
75,Morgan Park,51,42,51,42,0,31
76,O'Hare,16,46,16,46,0,38
77,Edgewater,96,81,83,80,13,51
